election_year,origin_party,origin_candidate,origin_order,origin_round1_share,destination,destination_order,raw_flow,flow_value,destination_final_share
2022,LFI,Mélenchon,1,"0,2195",RE,1,"0,42","0,09219","0,5855"
2022,LFI,Mélenchon,1,"0,2195",RN,2,"0,17","0,037315","0,4145"
2022,LFI,Mélenchon,1,"0,2195",Abst. /blank,3,"0,31","0,068045",
2022,EELV,Jadot,2,"0,0463",RE,1,"0,65","0,030095","0,5855"
2022,EELV,Jadot,2,"0,0463",RN,2,"0,06","0,002778","0,4145"
2022,EELV,Jadot,2,"0,0463",Abst. /blank,3,"0,29","0,013427",
2022,RE,Macron,3,"0,2785",RE,1,"0,98","0,27293","0,5855"
2022,RE,Macron,3,"0,2785",RN,2,"0,01","0,002785","0,4145"
2022,RE,Macron,3,"0,2785",Abst. /blank,3,"0,01","0,002785",
2022,LR,Pécresse,4,"0,0478",RE,1,"0,53","0,025334","0,5855"
2022,LR,Pécresse,4,"0,0478",RN,2,"0,18","0,008604","0,4145"
2022,LR,Pécresse,4,"0,0478",Abst. /blank,3,"0,29","0,013862",
2022,RN,Le Pen,5,"0,2315",RE,1,"0,03","0,006945","0,5855"
2022,RN,Le Pen,5,"0,2315",RN,2,"0,91","0,210665","0,4145"
2022,RN,Le Pen,5,"0,2315",Abst. /blank,3,"0,06","0,01389",
2022,REC,Zemmour,6,"0,0707",RE,1,"0,1","0,00707","0,5855"
2022,REC,Zemmour,6,"0,0707",RN,2,"0,73","0,051611","0,4145"
2022,REC,Zemmour,6,"0,0707",Abst. /blank,3,"0,17","0,012019",
2002,LO,Laguiller,1,"0,0572",RPR,1,"0,72","0,041184","0,8221"
2002,LO,Laguiller,1,"0,0572",FN,2,"0,05","0,00286","0,1779"
2002,LO,Laguiller,1,"0,0572",Abst. /blank,3,"0,23","0,013156",
2002,LCR,Besancenot,2,"0,0425",RPR,1,"0,79","0,033575","0,8221"
2002,LCR,Besancenot,2,"0,0425",FN,2,"0,04","0,0017","0,1779"
2002,LCR,Besancenot,2,"0,0425",Abst. /blank,3,"0,17","0,007225",
2002,POI,Gluckstein,3,"0,0047",RPR,1,"0,77","0,003619","0,8221"
2002,POI,Gluckstein,3,"0,0047",FN,2,"0,05","0,000235","0,1779"
2002,POI,Gluckstein,3,"0,0047",Abst. /blank,3,"0,18","0,000846",
2002,PCF,Hue,4,"0,0337",RPR,1,"0,82","0,027634","0,8221"
2002,PCF,Hue,4,"0,0337",FN,2,"0,04","0,001348","0,1779"
2002,PCF,Hue,4,"0,0337",Abst. /blank,3,"0,14","0,004718",
2002,PS,Jospin,5,"0,1618",RPR,1,"0,9","0,14562","0,8221"
2002,PS,Jospin,5,"0,1618",FN,2,0,0,"0,1779"
2002,PS,Jospin,5,"0,1618",Abst. /blank,3,"0,1","0,01618",
2002,PRG,Taubira,6,"0,0232",RPR,1,"0,8","0,01856","0,8221"
2002,PRG,Taubira,6,"0,0232",FN,2,"0,02","0,000464","0,1779"
2002,PRG,Taubira,6,"0,0232",Abst. /blank,3,"0,18","0,004176",
2002,LV,Mamère,7,"0,0525",RPR,1,"0,84","0,0441","0,8221"
2002,LV,Mamère,7,"0,0525",FN,2,"0,04","0,0021","0,1779"
2002,LV,Mamère,7,"0,0525",Abst. /blank,3,"0,12","0,0063",
2002,MDC,Chevènement,8,"0,0533",RPR,1,"0,96","0,051168","0,8221"
2002,MDC,Chevènement,8,"0,0533",FN,2,"0,01","0,000533","0,1779"
2002,MDC,Chevènement,8,"0,0533",Abst. /blank,3,"0,03","0,001599",
2002,CAP21,Lepage,9,"0,0188",RPR,1,"0,96","0,018048","0,8221"
2002,CAP21,Lepage,9,"0,0188",FN,2,"0,01","0,000188","0,1779"
2002,CAP21,Lepage,9,"0,0188",Abst. /blank,3,"0,03","0,000564",
2002,CPNT,Saint-Josse,10,"0,0423",RPR,1,"0,73","0,030879","0,8221"
2002,CPNT,Saint-Josse,10,"0,0423",FN,2,"0,08","0,003384","0,1779"
2002,CPNT,Saint-Josse,10,"0,0423",Abst. /blank,3,"0,19","0,008037",
2002,UDF,Bayrou,11,"0,0684",RPR,1,"0,85","0,05814","0,8221"
2002,UDF,Bayrou,11,"0,0684",FN,2,"0,08","0,005472","0,1779"
2002,UDF,Bayrou,11,"0,0684",Abst. /blank,3,"0,07","0,004788",
2002,DL,Madelin,12,"0,0391",RPR,1,"0,88","0,034408","0,8221"
2002,DL,Madelin,12,"0,0391",FN,2,"0,03","0,001173","0,1779"
2002,DL,Madelin,12,"0,0391",Abst. /blank,3,"0,09","0,003519",
2002,RPR,Chirac,13,"0,1988",RPR,1,"0,98","0,194824","0,8221"
2002,RPR,Chirac,13,"0,1988",FN,2,"0,01","0,001988","0,1779"
2002,RPR,Chirac,13,"0,1988",Abst. /blank,3,"0,01","0,001988",
2002,FRS,Boutin,14,"0,0119",RPR,1,"0,79","0,009401","0,8221"
2002,FRS,Boutin,14,"0,0119",FN,2,"0,2","0,00238","0,1779"
2002,FRS,Boutin,14,"0,0119",Abst. /blank,3,"0,01","0,000119",
2002,FN,Le Pen,15,"0,1686",RPR,1,"0,1","0,01686","0,8221"
2002,FN,Le Pen,15,"0,1686",FN,2,"0,8","0,13488","0,1779"
2002,FN,Le Pen,15,"0,1686",Abst. /blank,3,"0,1","0,01686",
2002,MNR,Mégret,16,"0,0234",RPR,1,"0,27","0,006318","0,8221"
2002,MNR,Mégret,16,"0,0234",FN,2,"0,61","0,014274","0,1779"
2002,MNR,Mégret,16,"0,0234",Abst. /blank,3,"0,12","0,002808",